Description,Category
hulu,Entertainment
luggage bag reservation,Travel
notebooks and pens store,Education
khan academy donation store,Education
starbucks,Food
starbucks purchase,Food
xbox membership,Entertainment
hulu,Entertainment
udemy course store,Education
home depot,Shopping
walmart online,Shopping
dentist office bill,Health
veterinary clinic store,Pets
ulta beauty store,Personal Care
amazon online,Shopping
chevron ticket,Transport
hospital copay bill,Health
dog walker,Pets
hertz car rental reservation,Travel
home depot,Shopping
whole foods payment,Food
quest diagnostics bill,Health
trash collection fee,Utilities
eye doctor clinic,Health
sewer bill payment,Utilities
uber,Transport
walgreens clinic,Health
exxonmobil ticket,Transport
att mobile monthly,Utilities
dentist office clinic,Health
netflix premium,Entertainment
resort fee reservation,Travel
flea medication,Pets
target store,Shopping
luggage bag,Travel
petco visit,Pets
wendys order,Food
skincare products store,Personal Care
sewer bill,Utilities
school supplies fee,Education
ebay store,Shopping
subway purchase,Food
netflix subscription,Entertainment
barber shop appointment,Personal Care
whole foods purchase,Food
att mobile,Utilities
barber shop routine,Personal Care
dentist office bill,Health
netflix,Entertainment
college textbook,Education
university tuition store,Education
taco bell,Food
nike store,Shopping
amtrak ride,Transport
ebay online,Shopping
college textbook,Education
concert ticket,Entertainment
bus pass ticket,Transport
macys,Shopping
chewy online store,Pets
water bill payment,Utilities
uber to resort reservation,Travel
water bill fee,Utilities
barber shop appointment,Personal Care
steam games subscription,Entertainment
shampoo and soap store,Personal Care
walgreens clinic,Health
khan academy donation store,Education
udemy course online,Education
shampoo and soap routine,Personal Care
walgreens bill,Health
dog walker supplies,Pets
eye doctor health,Health
manicure pedicure,Personal Care
trash collection monthly,Utilities
pet grooming,Pets
marriott hotel booking,Travel
student loan payment online,Education
resort fee booking,Travel
luggage bag reservation,Travel
best buy,Shopping
lyft ticket,Transport
student loan payment fee,Education
netflix subscription,Entertainment
cat litter visit,Pets
skincare products store,Personal Care
cat litter visit,Pets
petsmart visit,Pets
chewy online supplies,Pets
amtrak ticket,Transport
chewy online,Pets
college textbook,Education
electric bill payment,Utilities
hulu premium,Entertainment
advil medicine health,Health
nike store,Shopping
dentist office clinic,Health
shampoo and soap store,Personal Care
chewy online supplies,Pets
airbnb booking booking,Travel
university tuition fee,Education
walgreens clinic,Health
shampoo and soap appointment,Personal Care
mcdonalds order,Food
marriott hotel booking,Travel
taco bell purchase,Food
day spa routine,Personal Care
exxonmobil,Transport
expedia flight trip,Travel
taco bell,Food
haircut salon routine,Personal Care
hbo max,Entertainment
advil medicine bill,Health
barber shop routine,Personal Care
sephora cosmetics appointment,Personal Care
uber to resort booking,Travel
dog food bag,Pets
apartment rent monthly,Utilities
metro,Transport
pizza hut,Food
university tuition,Education
uber to resort reservation,Travel
playstation,Entertainment
eye doctor bill,Health
pet grooming visit,Pets
shampoo and soap appointment,Personal Care
xbox subscription,Entertainment
uber to resort,Travel
trash collection payment,Utilities
chevron ticket,Transport
manicure pedicure store,Personal Care
starbucks,Food
pet grooming visit,Pets
urgent care clinic,Health
school supplies fee,Education
shell gas ride,Transport
water bill payment,Utilities
uber ride,Transport
exxonmobil station,Transport
ulta beauty store,Personal Care
hertz car rental booking,Travel
cinema premium,Entertainment
uber ticket,Transport
advil medicine clinic,Health
manicure pedicure routine,Personal Care
pet grooming,Pets
sephora cosmetics store,Personal Care
exxonmobil ticket,Transport
quest diagnostics,Health
wendys,Food
att mobile monthly,Utilities
manicure pedicure appointment,Personal Care
day spa routine,Personal Care
disney plus,Entertainment
resort fee,Travel
walgreens clinic,Health
quest diagnostics clinic,Health
kroger purchase,Food
apple store checkout,Shopping
playstation,Entertainment
local bakery payment,Food
prescription refill health,Health
vacation cruise trip,Travel
sephora cosmetics routine,Personal Care
starbucks purchase,Food
starbucks,Food
verizon fee,Utilities
best buy checkout,Shopping
uber ticket,Transport
petco store,Pets
playstation subscription,Entertainment
luggage bag,Travel
whole foods order,Food
hertz car rental reservation,Travel
first aid kit clinic,Health
hulu subscription,Entertainment
ulta beauty,Personal Care
kroger purchase,Food
resort fee booking,Travel
shampoo and soap,Personal Care
hospital copay,Health
trash collection payment,Utilities
notebooks and pens online,Education
exxonmobil station,Transport
whole foods purchase,Food
school supplies online,Education
bus pass,Transport
advil medicine clinic,Health
skincare products store,Personal Care
shell gas,Transport
chevron station,Transport
cat litter visit,Pets
skincare products appointment,Personal Care
xbox,Entertainment
pet grooming supplies,Pets
urgent care health,Health
notebooks and pens,Education
barber shop,Personal Care
amtrak ride,Transport
wendys purchase,Food
kroger,Food
vacation cruise trip,Travel
walmart online,Shopping
xbox,Entertainment
taco bell purchase,Food
notebooks and pens fee,Education
att mobile fee,Utilities
shampoo and soap appointment,Personal Care
university tuition fee,Education
expedia flight trip,Travel
amazon checkout,Shopping
metro ticket,Transport
notebooks and pens online,Education
dog walker,Pets
expedia flight booking,Travel
metro ride,Transport
uber ride,Transport
sephora cosmetics store,Personal Care
student loan payment fee,Education
luggage bag trip,Travel
ebay checkout,Shopping
day spa appointment,Personal Care
sewer bill,Utilities
ikea checkout,Shopping
taco bell order,Food
dentist office,Health
concert ticket premium,Entertainment
marriott hotel reservation,Travel
hbo max subscription,Entertainment
netflix premium,Entertainment
coursera subscription online,Education
pet grooming visit,Pets
wendys payment,Food
ikea,Shopping
sephora cosmetics routine,Personal Care
public transit,Transport
dentist office,Health
spotify subscription,Entertainment
sewer bill payment,Utilities
student loan payment,Education
manicure pedicure store,Personal Care
ebay store,Shopping
taco bell,Food
verizon,Utilities
shampoo and soap appointment,Personal Care
veterinary clinic visit,Pets
veterinary clinic visit,Pets
hospital copay,Health
uber to resort reservation,Travel
vacation cruise booking,Travel
vacation cruise trip,Travel
xbox,Entertainment
advil medicine,Health
bus pass station,Transport
internet broadband fee,Utilities
shell gas,Transport
day spa routine,Personal Care
petco,Pets
concert ticket,Entertainment
university tuition store,Education
xbox membership,Entertainment
ulta beauty appointment,Personal Care
uber to resort booking,Travel
wendys purchase,Food
water bill,Utilities
marriott hotel reservation,Travel
sewer bill monthly,Utilities
internet broadband fee,Utilities
ulta beauty routine,Personal Care
uber to resort,Travel
uber ride,Transport
university tuition online,Education
mcdonalds order,Food
urgent care clinic,Health
hospital copay health,Health
playstation membership,Entertainment
wendys payment,Food
student loan payment online,Education
subway order,Food
taco bell,Food
manicure pedicure appointment,Personal Care
dentist office clinic,Health
school supplies fee,Education
sephora cosmetics appointment,Personal Care
shampoo and soap,Personal Care
xbox membership,Entertainment
sewer bill fee,Utilities
disney plus premium,Entertainment
subway order,Food
shell gas ticket,Transport
verizon fee,Utilities
cinema membership,Entertainment
cvs pharmacy clinic,Health
starbucks order,Food
veterinary clinic,Pets
student loan payment store,Education
amazon online,Shopping
steam games subscription,Entertainment
amazon checkout,Shopping
ebay store,Shopping
shell gas ride,Transport
dentist office health,Health
marriott hotel,Travel
urgent care health,Health
cat litter,Pets
disney plus subscription,Entertainment
urgent care bill,Health
trash collection payment,Utilities
whole foods,Food
student loan payment store,Education
whole foods payment,Food
school supplies store,Education
walgreens,Health
chevron station,Transport
marriott hotel trip,Travel
xbox premium,Entertainment
steam games subscription,Entertainment
ulta beauty routine,Personal Care
veterinary clinic visit,Pets
bus pass ticket,Transport
mcdonalds,Food
lyft,Transport
verizon payment,Utilities
shampoo and soap store,Personal Care
cvs pharmacy,Health
expedia flight trip,Travel
ikea checkout,Shopping
spotify premium,Entertainment
taco bell purchase,Food
notebooks and pens,Education
day spa appointment,Personal Care
walgreens bill,Health
disney plus,Entertainment
luggage bag reservation,Travel
shampoo and soap routine,Personal Care
electric bill payment,Utilities
lyft station,Transport
dentist office health,Health
luggage bag trip,Travel
metro ticket,Transport
luggage bag,Travel
steam games,Entertainment
school supplies store,Education
hulu membership,Entertainment
hbo max,Entertainment
ulta beauty appointment,Personal Care
macys online,Shopping
expedia flight,Travel
